name,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25
BeamSwap-Stable-AMM,85285.84601370979,170974.50894123784,33856.64465191282,24766.269746514816,13457.9942272835,23436.893050893428,47954.24753075046,21983.8226262615,38079.72014593923,29021.284267562503,22177.051755516,37051.323823325496,21128.054997522177,25826.8484115145,11467.489617605572,11624.416554731,19974.3677447495,21003.145046243,8922.176122322,6233.067015375,22075.20332308664,13120.5108996565,16138.542961755498,48008.527313460494,56626.273547224,22799.755052685003,19941.80543798937,47270.68577755,77116.692960799,28303.501930865
Beethoven-X,1897026.8851199008,610131.7099008763,687524.1363270854,567108.4692411663,316788.0890210117,625282.700193552,1208014.6805919416,310733.90380193153,450591.6667233301,265671.3402341975,551180.992974447,278850.67403313646,266790.5407111969,425355.16701216414,1224627.83579541,413145.2970794311,586038.5272575293,411492.59570734267,258302.18823006508,416324.6781431718,780614.7220993246,1054573.025504317,242344.9481992896,644021.6501527267,710305.6993558118,1120408.3410747345,320813.4814173027,1369229.5623597894,1102004.7291802329,695988.1928790673
BenSwap,1250.2976402974114,4230.862631979827,3085.9579933894925,2282.6329709459915,1388.951582496883,37.614551649628815,6234.918560351658,4600.282779773022,2371.4039221355383,2157.3476026489507,3867.626992802101,1101.5400992021605,3522.970456586901,3767.416829909576,2082.480680587479,2578.7554912859105,2509.4738740188623,1631.3257848961396,260.70075870209865,378.01085233315473,4320.699970885748,2761.6511920350267,1276.3534987644612,1992.4755178685955,5257.746247088585,3115.7926621434403,2843.758899246754,4211.335167319528,4429.654054832067,1820.406458760789
Bisq,141682.97660000002,260483.2752,139615.4172,493203.4401,242890.98304764816,399794.2768541941,588178.5266,477981.0144,171823.11000000002,217194.1196,139512.2016,81474.8475,118645.943,202359.3831,162087.4185,201836.91,167508.7458,214617.8836,227216.798,95010.71587091262,480959.535,318461.9028,136070.016,155462.5768228441,132654.3032,115630.4951,203158.9857,375060.0675073077,546713.8956,202311.0804
BiSwap-V2,2406459.625967188,3615158.61937938,1526310.6048581772,1289279.0055156047,1047735.1891615908,1883527.35488798,2646840.64308869,1552372.8153097816,1817109.123472899,1347881.6781421525,1482175.7383872792,1630195.237112569,986675.3544029642,2192417.1679984103,1566933.360872219,1174964.692664317,1424471.020860718,1098219.4784354502,1205353.5019039805,1328708.8400960064,4491001.069302891,2447286.147748181,1159693.390360223,1601331.0837352255,1809179.26597286,1467423.5504382274,2524982.565921045,6773128.73168901,6097656.985503818,3879156.013036703
BLEX,0.0,0.0,4.108587650000001e-09,0.0,0.0,0.0,0.0,2e-10,0.0,9.9544582e-11,0.0,0.0,9.94155e-13,5.0296982000000006e-11,0.0,0.0,1.05284942e-10,1.4953777500000002e-10,0.0,0.0,0.0,1.9787016750000003e-09,2e-10,0.0,7.44872263e-10,0.0,0.0,8e-10,9.960342980000002e-10,0.0
Blue-Planet,9602.368930596676,4335.117958683552,6973.975617914841,13016.687743310038,3785.7268672031614,1562.4156439784526,15770.851674998572,5075.82907761314,10886.57931280768,913.2370088038722,14745.743696112517,2569.197877464363,1136.9630197346332,3755.844930867565,3535.658175015533,3125.083382731853,629.7652928444564,606.7501027782115,3130.457721771528,1743.331927790818,3860.855857242486,26425.05853282324,1537.2603669576315,2560.777537410592,1054.4747674775438,6592.941854083846,2388.4836822358448,6953.271826235012,13771.771130384115,4035.3092102016703
BMX,964.8075486632036,52760.71305632018,93569.65958802312,2691.2260571475767,2395.222525959915,178799.82038610688,344147.2848199764,63884.83184827244,18541.970878038395,35590.30666726445,6235.131400676324,459.0399602161343,5027.522498935584,43224.52080928545,70117.89347099492,13499.282567985085,56769.743297108405,43448.52921010638,4148.6077001494805,2561.0846076355183,762793.3235469863,22844.104765197688,61600.98641487004,107866.97115462074,106104.76807591048,29025.09878837152,40897.03251475084,791438.9200775032,473381.0928979611,115213.62146530842
Brine.fi,3294639.048773,2395084.92418801,1711182.90655501,2884431.00797599,3430225.04662198,2511692.23166,2324114.761371,3427294.88615901,3466110.93837999,5389093.495283,1734497.56837902,1918056.33668299,3205147.72871601,1903159.89790301,1129773.25568599,1007563.969954,1218473.643043,1268867.050198,1362919.325994,1974906.779073,2525080.991648,1945060.75028999,1764218.594543,2902998.85813902,4922437.969259,2153429.119646,1931569.20377499,3482293.19523801,3263249.185325,2269185.82748201
BXH,97.73791995372775,476.8276253437722,612.2614980074975,385.9779864368552,180.9414779742864,959.0313582192344,958.3968710008484,352.62446690978607,413.09811227973046,224.08234306320173,765.3099405036663,90.6247962948593,138.78935303185068,706.5991611404658,376.7849627249876,610.1390953069764,477.2070420442825,371.723527412881,83.9901875830727,37.174484466976686,1135.8930769629326,292.1760722986556,259.53855088911445,230.29963121385583,553.4762566313145,445.72867956375205,653.2054580282509,1830.167185558126,2453.429453636404,760.0235409140071
Camelot,4617584.236747811,6885228.579179324,14311933.94570852,8341390.862080312,6798423.561910817,7753097.726800577,14301909.53730161,6026875.13323735,7276345.12928116,6359049.848088941,7937250.588758627,2775435.7166774403,5298895.468881705,7493522.868286906,7078320.481011312,7401582.368076342,6769655.454864481,7215555.573570775,2890989.4091808884,4307476.459300336,13367163.72258538,7095565.802922966,6294340.505617489,6057949.159803712,9817573.849109164,7355143.173895957,10219119.474695308,23168695.084881924,27720005.56977772,15639373.250352573
CandySwap,27714.76512879298,32180.650730277663,39415.85557023419,9954.777769600996,10199.850983431044,18025.25196941895,15702.599233975074,15702.599233975074,11359.693579600804,24490.55426409687,24490.55426409687,23147.187114949927,23147.187114949927,21062.04880327031,21062.04880327031,21062.04880327031,51103.25310425104,26084.974860193088,26084.974860193088,26084.974860193088,15035.573198176166,16431.862506465764,14844.147813778767,18801.1288569712,18658.565866681227,8053.122447934571,18311.81007841396,10722.217218076968,13888.40750255643,9255.812462765223
Canto-Dex,1356319.8310603483,5352489.064820354,4283625.225734826,4266920.033006102,3352315.377368924,7727916.142580335,13863940.464423576,12916864.539453482,8448653.648828063,5212875.972490795,8382372.656919247,6665345.605828206,5526359.133048583,12239364.183539351,12490140.047413403,10049836.2519466,8201871.119010419,10970440.292796886,3302655.818564577,2262228.496751413,17780463.011917632,8793031.917833935,7353955.049542346,6859789.162090557,5374359.758758612,11583502.744411057,10103194.753082912,23539004.005537827,27496306.45445599,22554832.99191564
Capricorn-Finance,6.8478569021985765,2.251095943184755,45.15833484351293,0.7338295091671624,0.969580069123415,349.05251397914435,226.83069693624984,59.50451589723328,310.31112757511164,0.619243648514898,2.657729081683388,243.20670241120723,34.28949116264816,11.975813391568767,16.943558098269637,63.416037227316046,12.420773667273645,322.7280254281493,44.43613510433951,1.8591411502354431,27.000176425089105,14.94422521441246,13.55408069821516,16.74722705930353,0.0,74.50631721532555,14.686586649364184,12.792012406202543,16.8163529817299,41.0562189588556
CarbonSwap,6656.238027345214,2489.0106346975044,8943.261729054908,291.6157681753869,168.36121108545916,1197.903913859683,897.2380586596339,2304.6525020240533,1803.5057747131752,1493.4726365114332,6043.454923958473,730.5762410836576,23.239751913722618,3423.1322673271047,4702.31961243262,6426.813549124719,2490.652088025612,3075.234799632252,2328.2218514058977,749.5366662943286,3884.3908815917607,2358.782763588857,2422.9179620028817,419.05636419368216,615.0996919288733,1100.5100505827106,1469.464703261658,8115.969089176446,6453.819540027931,12516.7140760965
